LB Rank;LB Team;Player Name
1;Aurora;Nightfall
2;PARI;Satanic
3;NAVI;Niku
4;;Jankos
5;BetBoom;Save-
6;TY;医者watson`
7;BetBoom;Kiritych~
8;XG;NothingToSay
9;Tundra;Pure
10;HEROIC;Wisper
11;FLCN;Malr1ne
12;;aik
13;TSpirit;rue
14;;Saksa
15;;Hellscream
16;Tundra;Ari
17;FLCN;AMMAR_THE_F
18;1w;squad1x
19;HEROIC;TaiLung
20;;ChodΣX
21;TSpirit;Yatoro
22;OG;skem
23;PARI;Dukalis
24;PARI;DM
25;PARI;9Class
26;;Mikey
27;NGX;GH
28;PV;SSS
29;NAVI;gotthejuice
30;NGX;OmaR
31;Tundra;bzm
32;;Tobi
33;;daze
34;;Saberlight
35;;OneJey
36;;Stojkov
37;FLCN;skiter
38;TY;Noticed
39;TY;CHIRA_JUNIOR
40;;Hello Juliet
41;GL;Fayde
42;LFT;Batyuk
43;;Matson
44;Aurora;Mikoto
45;;BOOM
46;;dream`
47;AVULUS;ssnovv1
48;;Worick
49;VPP;JANTER
50;BetBoom;gpk~
51;;bottega
52;Liquid;tOfu
53;;Darklord,,`
54;;Shad
55;;TA2000
56;;SoNNeikO
57;LYNX;mellojul
58;Aurora;kaori
59;PR;Till The End
60;;INFERNAL
61;Secret;darkniA
62;;Aidar
63;;not_me
64;PARI;No[o]ne-
65;LFT;Stoic
66;;@@
67;NMSS;23
68;GL;RCY
69;XG;fy
70;;Koma`
71;FLCN;Sneyking
72;BetBoom;MieRo
73;;fortniteMan
74;;Thiolicor
75;TSpirit;panto
76;;MikSa`
77;NAVI;Riddys
78;;Ekki
79;;404
80;;shigetsu
81;;Bengan
82;OG;Nikko
83;;мистер мораль
84;OG;Natsumi
85;;Nyx
86;AVULUS;dualrazee
87;ICxI;Se
88;;Corrupted
89;;Cloud
90;1w;Rein
91;XG;xNova
92;;LenS
93;;lowskill
94;;Lelis
95;shef;fashion
96;;спортик
97;VP;Fly
98;;Malik
99;;Davai
100;;Yuragi
101;AVULUS;asdekor_r
102;;sanctity
103;;MidOne
104;NGX;No!ob™
105;LYNX;7jesu
106;;chempik
107;;Copy
108;;yamich
109;;Flokk1n
110;;Mirage`
111;TSpirit;Larl
112;;bashka
113;ICxI;Supream^
114;PR;Nicky`Cool
115;;niche
116;RE;Ankou ♡
117;VP;Antares
118;;ряф^^
119;;waveformn
120;;TORONTOTOKYO
121;;NLineは
122;;flyfly
123;ICxI;laise
124;;Mo13ei
125;;звёзд怪物
126;RE;ani-san
127;;Norma
128;;Rain
129;LYNX;htiviy_vladik
130;;Veldt
131;;Fernans
132;;AquA
133;;Immersion
134;;KaChal
135;NAVI;pma
136;;kae
137;;neMamyka
138;;Crystallize
139;;4nalog丶01
140;HEROIC;KingJungles
141;Nemiga;VaniLLl
142;;WraitH
143;;rubikon155
144;;Xenon
145;XctN;Palos
146;;MinD_ContRoL
147;;Lil Uzi Vert
148;;Xakoda
149;;aliez
